date,model,median_score,os_score,db_score,kg_score,web_score,code_score
2023-01-01,Bloom-34B-Elite,44.77,41.13,42.02,43.7,42.61,43.07
2023-01-01,Grok-13B-Elite,40.85,37.27,44.65,36.96,43.68,43.29
2023-01-01,Llama-34B,32.77,35.07,33.45,31.48,31.82,35.64
2023-01-01,Grok-34B,39.74,41.65,40.21,40.31,39.18,38.19
2023-01-01,Falcon-70B,40.03,39.4,41.87,43.34,42.72,42.54
2023-01-01,Falcon-70B,35.03,37.43,37.63,33.05,34.6,31.64
2023-01-01,PaLM-175B-Ultra,39.46,36.36,38.14,39.71,41.13,43.1
2023-01-01,Gemini-34B,35.07,33.55,31.84,32.54,33.47,32.65
2023-01-01,Llama-70B,40.4,38.47,42.6,41.13,40.44,36.55
2023-01-01,Gemini-34B,40.68,41.88,37.8,44.62,37.53,44.05
2023-01-01,Gemini-34B-Pro,46.44,49.08,46.56,42.71,50.2,45.14
2023-01-01,PaLM-7B-XL,37.85,40.85,39.8,35.35,40.94,33.92
2023-01-01,Bloom-7B,35.51,36.7,33.3,34.46,37.5,36.73
2023-01-01,Gemini-7B-Ultra,40.97,38.86,38.85,44.27,42.05,41.96
2023-01-01,Claude-70B,40.19,38.22,36.1,43.85,43.79,36.48
2023-01-01,Gemini-70B,47.09,51.44,50.2,50.02,45.42,50.89
2023-01-01,PaLM-7B-Max,42.69,43.72,46.89,45.63,45.02,41.76
2023-01-01,Gemini-70B,36.95,39.8,40.14,40.12,38.3,40.0
2023-01-01,Claude-13B,37.02,37.54,34.16,34.97,37.58,34.53
2023-01-01,Gemini-13B,40.0,41.15,36.69,40.16,40.59,42.41
2023-01-31,Bloom-34B-Elite,40.48,36.61,44.35,39.96,37.72,40.71
2023-01-31,Grok-13B-Elite,48.23,52.85,51.06,47.71,46.12,43.37
2023-01-31,Llama-34B,38.31,38.31,34.42,35.55,38.21,38.99
2023-01-31,Grok-34B,37.54,37.2,39.97,34.43,38.62,40.74
2023-01-31,Falcon-70B,47.15,46.45,47.54,51.65,51.04,42.95
2023-01-31,Falcon-70B,41.45,38.49,43.3,43.47,43.76,43.38
2023-01-31,PaLM-175B-Ultra,50.51,49.25,53.44,54.08,50.0,46.71
2023-01-31,Gemini-34B,52.9,51.0,57.16,57.63,53.47,51.23
2023-01-31,Llama-70B,42.5,45.17,44.95,38.51,43.16,41.19
2023-01-31,Gemini-34B,38.31,39.08,35.32,34.91,40.66,35.19
2023-01-31,Gemini-34B-Pro,53.04,56.0,57.6,55.92,53.87,48.87
2023-01-31,PaLM-7B-XL,44.86,40.81,41.52,46.86,45.58,43.04
2023-01-31,Bloom-7B,51.75,47.34,52.31,53.21,54.31,52.43
2023-01-31,Gemini-7B-Ultra,53.32,50.74,49.46,54.08,48.9,51.75
2023-01-31,Claude-70B,50.2,54.45,53.11,55.0,54.17,54.97
2023-01-31,Gemini-70B,37.85,41.75,40.41,37.52,36.14,39.9
2023-01-31,PaLM-7B-Max,52.78,52.41,48.9,50.04,54.21,49.02
2023-01-31,Gemini-70B,48.86,49.09,52.82,52.98,48.08,51.2
2023-01-31,Claude-13B,40.36,39.05,39.79,40.65,43.06,42.94
2023-01-31,Gemini-13B,52.24,51.8,56.74,53.61,49.62,48.68
2023-03-02,Bloom-34B-Elite,46.88,48.69,43.68,43.66,43.0,43.87
2023-03-02,Grok-13B-Elite,48.27,43.83,50.98,51.93,52.3,51.17
2023-03-02,Llama-34B,54.7,53.14,54.15,54.63,57.55,54.91
