date,model,median_score,os_score,db_score,kg_score,web_score,code_score
2023-01-01,Bloom-34B-Elite,45.15,41.52,42.35,43.99,42.85,43.7
2023-01-01,Grok-13B-Elite,41.01,37.33,44.67,37.26,44.12,43.7
2023-01-01,Llama-34B,32.35,34.55,32.91,31.04,31.63,35.53
2023-01-01,Grok-34B,39.92,41.68,40.4,40.89,39.39,38.29
2023-01-01,Falcon-70B,39.92,39.39,41.56,43.1,42.84,42.51
2023-01-01,Falcon-70B,35.09,37.73,37.52,33.01,34.72,31.76
2023-01-01,PaLM-175B-Ultra,38.76,35.61,37.42,39.11,40.47,42.31
2023-01-01,Gemini-34B,34.12,32.63,30.99,32.29,32.51,31.84
2023-01-01,Llama-70B,40.98,39.21,43.55,41.37,40.78,36.93
2023-01-01,Gemini-34B,39.91,41.1,36.85,44.17,36.63,43.14
2023-01-01,Gemini-34B-Pro,46.86,49.22,46.57,43.14,50.71,45.74
2023-01-01,PaLM-7B-XL,38.12,41.21,39.91,35.65,41.3,33.99
2023-01-01,Bloom-7B,36.44,37.79,33.95,35.57,38.72,37.8
2023-01-01,Gemini-7B-Ultra,40.85,38.56,38.72,44.23,41.93,42.21
2023-01-01,Claude-70B,40.51,38.31,36.12,44.32,44.08,36.94
2023-01-01,Gemini-70B,47.33,51.69,50.25,49.9,45.71,50.84
2023-01-01,PaLM-7B-Max,42.26,43.31,46.43,44.88,44.84,41.6
2023-01-01,Gemini-70B,37.22,40.21,40.55,41.37,38.81,40.45
2023-01-01,Claude-13B,36.64,37.1,34.4,34.14,37.07,34.45
2023-01-01,Gemini-13B,39.65,40.96,36.38,39.64,39.72,42.08
2023-01-31,Bloom-34B-Elite,40.1,36.24,44.07,39.81,37.25,40.17
2023-01-31,Grok-13B-Elite,47.63,52.42,50.96,47.38,45.86,42.65
2023-01-31,Llama-34B,38.55,38.74,33.83,35.52,38.86,38.88
2023-01-31,Grok-34B,38.28,37.58,40.51,35.22,39.4,41.45
2023-01-31,Falcon-70B,47.97,46.95,48.33,52.69,52.0,43.54
2023-01-31,Falcon-70B,41.17,38.45,43.24,43.26,43.26,42.96
2023-01-31,PaLM-175B-Ultra,50.53,49.29,53.6,54.05,50.22,46.93
2023-01-31,Gemini-34B,53.58,51.66,57.98,58.34,53.96,52.41
2023-01-31,Llama-70B,43.1,46.01,45.59,38.83,44.01,41.74
2023-01-31,Gemini-34B,38.54,39.17,35.59,34.99,40.79,35.46
2023-01-31,Gemini-34B-Pro,52.34,54.91,56.66,55.13,53.38,48.19
2023-01-31,PaLM-7B-XL,44.87,40.75,41.61,46.67,45.57,43.15
2023-01-31,Bloom-7B,51.89,47.47,52.46,53.48,54.99,52.38
2023-01-31,Gemini-7B-Ultra,54.44,51.61,49.98,55.09,50.01,53.3
2023-01-31,Claude-70B,49.78,54.11,52.33,55.0,54.01,54.39
2023-01-31,Gemini-70B,37.02,41.17,39.49,37.0,35.34,39.03
2023-01-31,PaLM-7B-Max,52.58,52.38,48.74,49.99,53.62,49.16
2023-01-31,Gemini-70B,49.67,49.92,54.19,54.28,49.03,52.38
2023-01-31,Claude-13B,40.91,39.15,40.27,41.39,44.05,43.19
2023-01-31,Gemini-13B,51.42,50.97,55.32,52.74,48.93,47.68
2023-03-02,Bloom-34B-Elite,46.92,48.97,43.58,43.5,43.01,43.65
2023-03-02,Grok-13B-Elite,49.32,44.8,51.93,53.12,53.42,52.23
2023-03-02,Llama-34B,54.52,52.82,53.59,54.79,57.51,54.8
2023-03-02,Grok-34B,50.59,50.44,47.61,45.03,48.47,46.2
2023-03-02,Falcon-70B,59.59,63.47,59.61,60.19,61.99,56.92
2023-03-02,Falcon-70B,48.26,47.83,52.26,44.7,44.58,44.99
2023-03-02,PaLM-175B-Ultra,45.82,44.58,50.12,49.67,48.88,43.18
2023-03-02,Gemini-34B,53.55,54.7,50.87,51.95,51.94,49.45
2023-03-02,Llama-70B,52.93,48.44,52.41,51.23,49.56,50.05
2023-03-02,Gemini-34B,54.24,54.66,53.57,57.73,59.47,58.7
2023-03-02,Gemini-34B-Pro,43.78,44.35,46.94,40.96,41.03,45.01
2023-03-02,PaLM-7B-XL,51.41,50.14,53.65,50.52,49.38,49.5
2023-03-02,Bloom-7B,58.91,62.59,59.64,55.23,62.69,64.69
2023-03-02,Gemini-7B-Ultra,55.4,52.19,58.14,58.07,60.09,50.83
2023-03-02,Claude-70B,56.75,59.63,53.15,58.78,58.56,54.87
2023-03-02,Gemini-70B,45.21,45.61,49.39,44.7,46.27,47.35
2023-03-02,PaLM-7B-Max,57.75,58.87,59.78,62.51,62.17,63.29
2023-03-02,Gemini-70B,56.92,58.51,55.69,60.16,50.78,56.52
2023-03-02,Claude-13B,57.2,59.27,56.52,52.34,52.15,61.92
2023-03-02,Gemini-13B,49.17,44.94,50.64,44.54,55.34,44.94
2023-04-01,Bloom-34B-Elite,60.94,57.28,57.16,61.46,55.52,61.99
2023-04-01,Grok-13B-Elite,55.16,50.32,50.95,56.36,54.62,50.58
2023-04-01,Llama-34B,49.8,44.45,45.6,51.57,47.07,51.83
2023-04-01,Grok-34B,62.72,65.41,59.31,56.45,57.68,61.11
2023-04-01,Falcon-70B,63.37,60.85,61.07,65.25,61.18,61.62
2023-04-01,Falcon-70B,64.58,69.54,64.48,63.69,58.57,65.45
2023-04-01,PaLM-175B-Ultra,50.05,54.8,50.03,44.84,54.29,47.29
2023-04-01,Gemini-34B,57.45,54.31,51.96,59.09,58.42,57.03
2023-04-01,Llama-70B,45.73,41.55,46.37,43.1,43.92,46.87
2023-04-01,Gemini-34B,55.19,57.85,51.75,55.21,56.83,50.49
2023-04-01,Gemini-34B-Pro,45.8,48.41,45.56,48.26,47.9,43.74
2023-04-01,PaLM-7B-XL,46.13,43.53,46.7,49.26,48.01,44.05
2023-04-01,Bloom-7B,55.42,51.98,55.63,60.65,60.62,59.77
2023-04-01,Gemini-7B-Ultra,63.77,57.61,64.78,58.22,66.9,57.78
2023-04-01,Claude-70B,52.59,50.78,54.05,50.23,47.63,57.74
2023-04-01,Gemini-70B,61.3,61.76,62.65,61.07,64.01,59.38
2023-04-01,PaLM-7B-Max,49.52,44.6,44.73,48.49,51.79,53.82
2023-04-01,Gemini-70B,53.38,58.81,50.6,54.78,53.2,50.13
2023-04-01,Claude-13B,47.66,44.04,52.84,49.24,44.08,45.34
2023-04-01,Gemini-13B,57.59,53.78,61.63,61.87,62.98,59.54
2023-05-01,Bloom-34B-Elite,61.63,59.66,58.65,57.36,57.92,66.07
2023-05-01,Grok-13B-Elite,62.98,66.8,61.4,60.97,68.05,67.95
2023-05-01,Llama-34B,70.29,73.32,73.51,65.82,75.56,68.05
2023-05-01,Grok-34B,66.84,71.08,67.04,68.63,63.95,71.66
2023-05-01,Falcon-70B,51.3,56.84,49.98,47.31,55.56,49.35
2023-05-01,Falcon-70B,65.75,63.37,67.06,69.33,60.28,68.13
2023-05-01,PaLM-175B-Ultra,57.81,52.82,60.71,53.34,59.26,63.46
2023-05-01,Gemini-34B,52.77,51.87,53.47,57.53,51.69,49.92
2023-05-01,Llama-70B,47.96,52.18,47.87,50.79,51.59,45.09
2023-05-01,Gemini-34B,49.44,52.73,48.92,47.38,49.42,46.82
2023-05-01,Gemini-34B-Pro,67.33,59.81,61.35,67.47,64.92,71.32
2023-05-01,PaLM-7B-XL,48.45,45.93,53.16,49.02,50.3,46.78
2023-05-01,Bloom-7B,60.75,54.74,55.13,61.43,62.77,57.0
2023-05-01,Gemini-7B-Ultra,52.39,47.94,56.99,54.26,56.72,51.03
2023-05-01,Claude-70B,69.52,68.95,72.38,63.8,63.08,74.44
2023-05-01,Gemini-70B,54.29,55.73,55.14,51.56,59.7,51.09
2023-05-01,PaLM-7B-Max,64.68,68.61,67.38,63.47,63.12,64.41
2023-05-01,Gemini-70B,67.11,72.47,66.38,71.85,63.96,70.93
2023-05-01,Claude-13B,52.14,48.93,49.39,50.09,56.39,49.25
2023-05-01,Gemini-13B,62.46,67.77,58.79,66.46,57.83,59.4
2023-05-31,Bloom-34B-Elite,55.08,52.64,57.92,56.15,57.18,49.8
2023-05-31,Grok-13B-Elite,72.26,78.28,77.2,68.13,66.62,72.7
2023-05-31,Llama-34B,78.63,75.7,79.2,78.09,79.92,72.89
2023-05-31,Grok-34B,54.95,51.16,56.55,59.96,51.84,60.09
2023-05-31,Falcon-70B,73.58,78.98,75.17,69.99,76.73,67.22
2023-05-31,Falcon-70B,70.44,75.82,75.22,76.0,69.68,74.16
2023-05-31,PaLM-175B-Ultra,72.97,78.3,67.34,70.42,71.82,70.92
2023-05-31,Gemini-34B,64.31,60.15,59.65,66.36,64.34,64.4
2023-05-31,Llama-70B,64.37,64.58,65.5,68.68,67.56,61.21
2023-05-31,Gemini-34B,76.89,76.53,72.65,81.0,77.95,79.43
2023-05-31,Gemini-34B-Pro,59.3,55.41,61.5,61.11,53.84,65.01
2023-05-31,PaLM-7B-XL,66.1,60.75,67.92,70.59,70.83,67.24
2023-05-31,Bloom-7B,62.71,65.88,59.74,65.44,57.22,64.87
2023-05-31,Gemini-7B-Ultra,58.14,55.06,53.46,59.31,58.41,58.56
2023-05-31,Claude-70B,65.43,65.31,68.56,63.28,59.63,61.34
2023-05-31,Gemini-70B,62.5,56.71,66.37,66.48,63.39,60.6
2023-05-31,PaLM-7B-Max,72.48,72.19,66.39,67.81,75.32,65.93
2023-05-31,Gemini-70B,64.26,67.0,67.51,70.43,70.36,64.6
2023-05-31,Claude-13B,69.78,64.43,74.69,63.79,66.64,63.36
2023-05-31,Gemini-13B,76.07,74.76,75.46,83.7,76.06,74.2
2023-06-30,Bloom-34B-Elite,83.97,89.0,80.6,78.11,87.25,86.33
2023-06-30,Grok-13B-Elite,82.06,84.21,86.41,79.74,75.95,74.18
2023-06-30,Llama-34B,62.15,68.21,61.35,60.41,56.65,63.94
2023-06-30,Grok-34B,76.86,70.81,84.54,84.13,72.55,79.66
2023-06-30,Falcon-70B,60.14,63.92,62.0,59.72,58.57,58.43
2023-06-30,Falcon-70B,70.75,74.94,63.54,62.65,67.08,71.45
2023-06-30,PaLM-175B-Ultra,64.41,59.67,65.62,59.15,64.04,67.02
2023-06-30,Gemini-34B,70.64,69.26,74.33,73.82,70.09,63.87
2023-06-30,Llama-70B,86.55,89.0,94.04,79.83,87.1,86.42
2023-06-30,Gemini-34B,77.58,71.02,69.34,74.76,81.32,72.79
2023-06-30,Gemini-34B-Pro,62.21,59.65,56.75,63.39,60.58,63.52
2023-06-30,PaLM-7B-XL,81.15,74.8,88.43,89.4,83.57,86.46
2023-06-30,Bloom-7B,76.89,83.06,72.14,74.98,78.52,82.7
2023-06-30,Gemini-7B-Ultra,77.81,83.14,83.12,81.92,77.44,82.48
2023-06-30,Claude-70B,77.43,84.29,84.4,82.02,73.61,81.05
2023-06-30,Gemini-70B,74.18,72.47,75.52,76.39,77.98,66.28
2023-06-30,PaLM-7B-Max,65.13,68.61,62.11,66.84,61.66,65.53
2023-06-30,Gemini-70B,57.53,63.13,55.57,55.08,62.73,61.78
2023-06-30,Claude-13B,73.99,76.01,65.88,78.98,67.7,77.38
2023-06-30,Gemini-13B,61.59,63.34,63.38,59.05,65.19,56.15
2023-07-30,Bloom-34B-Elite,75.38,80.21,75.07,72.69,74.34,76.8
2023-07-30,Grok-13B-Elite,86.5,89.79,91.33,91.9,85.44,81.82
2023-07-30,Llama-34B,75.72,71.79,82.16,80.57,81.16,74.82
2023-07-30,Grok-34B,79.41,79.3,82.76,81.4,74.01,87.28
2023-07-30,Falcon-70B,66.1,62.84,62.64,63.26,70.27,60.21
2023-07-30,Falcon-70B,77.17,75.25,83.37,84.16,69.47,80.46
2023-07-30,PaLM-175B-Ultra,96.18,89.75,97.67,98.25,92.92,102.52
2023-07-30,Gemini-34B,80.93,86.79,84.62,81.45,73.62,74.06
