# Synthetic AgentBench Leaderboard Data
# Generated for the Jolting Technologies Hypothesis project
# Generation date: 2025-05-07
# This is synthetic data for development purposes
# Real historical data should be used when available
#
date,model,median_score,os_score,db_score,kg_score,web_score,code_score
2024-05-01,Bloom-34B-Elite,45.88,42.27,42.97,44.56,43.32,44.93
2024-05-01,Grok-13B-Elite,41.33,37.43,44.68,37.86,44.97,44.5
2024-05-01,Llama-34B,31.51,33.49,31.8,30.13,31.22,35.3
2024-05-01,Grok-34B,40.28,41.73,40.74,42.03,39.78,38.48
2024-05-01,Falcon-70B,39.7,39.34,40.92,42.61,43.06,42.44
2024-05-01,Falcon-70B,35.18,38.31,37.26,32.94,34.96,31.97
2024-05-01,PaLM-175B-Ultra,37.34,34.08,35.97,37.89,39.11,40.72
2024-05-01,Gemini-34B,32.19,30.78,29.27,31.77,30.57,30.21
2024-05-01,Llama-70B,42.12,40.66,45.44,41.84,41.43,37.68
2024-05-01,Gemini-34B,38.35,39.54,34.94,43.25,34.79,41.29
2024-05-01,Gemini-34B-Pro,47.66,49.46,46.58,43.97,51.71,46.91
2024-05-01,PaLM-7B-XL,38.63,41.92,40.11,36.25,42.0,34.09
2024-05-01,Bloom-7B,38.3,39.94,35.22,37.75,41.16,39.92
2024-05-01,Gemini-7B-Ultra,40.6,37.94,38.45,44.13,41.68,42.68
2024-05-01,Claude-70B,41.13,38.47,36.15,45.24,44.64,37.86
2024-05-01,Gemini-70B,47.8,52.16,50.33,49.64,46.26,50.72
2024-05-01,PaLM-7B-Max,41.37,42.47,45.48,43.35,44.44,41.26
2024-05-01,Gemini-70B,37.73,41.01,41.36,43.83,39.81,41.32
2024-05-01,Claude-13B,35.86,36.19,34.85,32.46,36.04,34.28
2024-05-01,Gemini-13B,38.93,40.56,35.74,38.59,37.97,41.41
2024-05-31,Bloom-34B-Elite,39.29,35.45,43.43,39.44,36.25,39.02
2024-05-31,Grok-13B-Elite,46.34,51.47,50.67,46.63,45.27,41.13
2024-05-31,Llama-34B,38.98,39.55,32.6,35.41,40.09,38.6
2024-05-31,Grok-34B,39.7,38.29,41.55,36.75,40.9,42.81
