date,performance,date_ordinal
2023-01-01,47.09,738521
2023-01-31,53.32,738551
2023-03-02,58.65,738581
2023-04-01,64.59,738611
2023-05-01,69.24,738641
2023-05-31,76.8,738671
2023-06-30,82.71,738701
2023-07-30,91.41,738731
2023-08-29,99.15,738761
2023-09-28,113.11,738791
2023-10-28,123.77,738821
2023-11-27,142.46,738851
2023-12-27,156.09,738881
2024-01-26,156.28,738911
2024-02-25,149.98,738941
2024-03-26,149.76,738971
2024-04-25,144.93,739001
2024-05-25,151.92,739031
2024-06-24,155.44,739061
2024-07-24,161.83,739091
2024-08-23,159.87,739121
2024-09-22,173.21,739151
2024-10-22,179.27,739181
2024-11-21,184.89,739211
