date,performance,date_ordinal
2023-01-01,47.33,738521
2023-01-31,54.44,738551
2023-03-02,59.59,738581
2023-04-01,64.58,738611
2023-05-01,70.29,738641
2023-05-31,78.63,738671
2023-06-30,86.55,738701
2023-07-30,96.18,738731
2023-08-29,103.62,738761
2023-09-28,116.3,738791
2023-10-28,121.49,738821
2023-11-27,134.17,738851
2023-12-27,144.42,738881
2024-01-26,147.76,738911
2024-02-25,147.21,738941
2024-03-26,153.33,738971
2024-04-25,149.71,739001
2024-05-25,156.94,739031
2024-06-24,159.06,739061
2024-07-24,164.0,739091
2024-08-23,160.31,739121
2024-09-22,173.84,739151
2024-10-22,179.43,739181
2024-11-21,184.01,739211
