noise,true_class,score
0.01,1,2387.679418330485
0.01,1,2388.204371182427
0.01,1,2542.7114968179626
0.01,1,2389.564683482521
0.01,1,2302.7661045282152
0.01,1,2329.953682450741
0.01,1,2861.6038034360317
0.01,1,2514.3387428078963
0.01,1,2383.3027644006147
0.01,1,2498.0667425043594
0.01,1,2462.7006212788497
0.01,1,2610.9088501441956
0.01,1,2312.141375466155
0.01,1,2451.909269725663
0.01,1,2539.0569529318623
0.01,1,2501.517376380122
0.01,1,2482.241458401661
0.01,1,2455.2521683357536
0.01,1,2271.713459300698
0.01,1,2495.0137540879373
0.01,1,2295.8997015776613
0.01,1,2534.330524564758
0.01,1,2378.6187034006625
0.01,1,2543.8131866279064
0.01,1,2457.03210333989
0.01,1,2364.1908400541333
0.01,1,2376.4815299628754
0.01,1,2498.2626847848605
0.01,1,2469.777508285735
0.01,1,2749.4909436119024
0.01,1,2441.598698745174
0.01,1,2284.276396057694
0.01,1,2401.541486837265
0.01,1,2358.7055666687734
0.01,1,2416.842536532157
0.01,1,2463.562494248417
0.01,1,2381.1040546350523
0.01,1,2500.2113327499924
0.01,1,2415.261176451571
0.01,1,2476.156165505458
0.01,1,2445.3302785449346
0.01,1,2439.641583009797
0.01,1,2270.8195075583967
0.01,1,2413.1816377549876
0.01,1,2301.7429278642544
0.01,1,2381.208461226948
0.01,1,2646.4803726341765
0.01,1,2232.558311185512
0.01,1,2308.199710020907
0.01,1,2344.5926328776104
0.01,1,2339.140299430941
0.01,1,2465.361338535057
0.01,1,2475.126056981536
0.01,1,2277.274147676167
0.01,1,2451.7442561568637
0.01,1,2468.3558452887423
0.01,1,2526.2647179489345
0.01,1,2560.1375788833107
0.01,1,2508.8807905178537
0.01,1,2215.783606818693
0.01,1,2444.25914393952
0.01,1,2300.3417187895197
0.01,1,2407.146826590362
0.01,1,2557.2255624715604
0.01,1,2460.643918705372
0.01,1,2428.6583459194917
0.01,1,2406.9462368699474
0.01,1,2407.931009096224
0.01,1,2679.8769242146545
0.01,1,2577.759630858369
0.01,1,2919.2045438294276
0.01,1,2340.095304002316
0.01,1,2426.3016742352975
0.01,1,2532.2537733806685
0.01,1,2602.9162489339
0.01,1,2554.1576639180867
0.01,1,2595.2259520237217
0.01,1,2569.237931525174
0.01,1,2526.4377843844636
0.01,1,2814.0166677484067
0.01,1,2519.569707720057
0.01,1,2529.9001875232043
0.01,1,2528.5527233626735
0.01,1,2387.4510952759533
0.01,1,2497.7503726292452
0.01,1,2431.5576901652853
0.01,1,2306.8244446222634
0.01,1,2397.088447307343
0.01,1,2345.3332554073745
0.01,1,2434.9087476121904
0.01,1,2457.6664299870745
0.01,1,2500.1313159619835
0.01,1,2239.530488443029
0.01,1,2613.0325205623776
0.01,1,2446.122003655721
0.01,1,2419.126488186888
0.01,1,2367.255830520126
0.01,1,2588.7282252909413
0.01,1,2277.9888162180932
0.01,1,2273.1854715793293
0.01,0,456.2965740781677
0.01,0,583.0122537557601
0.01,0,474.67337817474584
0.01,0,413.467153837762
0.01,0,610.4263450004202
0.01,0,641.0843542060163
0.01,0,464.34557348448135
0.01,0,456.1970997502308
0.01,0,541.732291968046
0.01,0,701.4064707169812
0.01,0,464.1629998683434
0.01,0,545.4336810931836
0.01,0,767.1721242368483
0.01,0,548.1998335090159
0.01,0,563.3222697013931
0.01,0,668.6792122158737
0.01,0,546.9306024196644
0.01,0,387.77186176043494
0.01,0,508.4278319802359
0.01,0,630.4583999853947
0.01,0,418.3290325767465
0.01,0,663.0761195049392
0.01,0,470.1531996608318
0.01,0,436.06401469334776
0.01,0,710.399462395059
0.01,0,469.138563740491
0.01,0,492.08714901765717
0.01,0,602.0620459511871
0.01,0,547.3082524359382
0.01,0,483.5122587137238
0.01,0,479.3543529874168
0.01,0,474.29757775420074
0.01,0,431.31133622153845
0.01,0,704.0365672218705
0.01,0,458.67027610087507
0.01,0,618.7250859574698
0.01,0,424.2711367260364
0.01,0,771.5036728158134
0.01,0,414.84416293757704
0.01,0,532.2437310435687
0.01,0,615.1703751709825
0.01,0,371.42505678308
0.01,0,376.60840833868735
0.01,0,534.5063536058143
0.01,0,373.5162563623311
0.01,0,488.66895048132
0.01,0,614.3616094068593
0.01,0,497.3449660846146
0.01,0,530.4659087671469
0.01,0,608.2870635861162
0.01,0,619.0129567162601
0.01,0,597.4411276867261
0.01,0,297.76314134586295
0.01,0,391.0078877068407
0.01,0,520.4792581176999
0.01,0,485.73654555657896
0.01,0,539.4789065178071
0.01,0,668.8902341588521
0.01,0,464.1643433598618
0.01,0,601.8426365500611
0.01,0,601.8643014154048
0.01,0,485.6030294057299
0.01,0,504.4505747442806
0.01,0,512.7589956940458
0.01,0,503.8233783245227
0.01,0,434.4485592623533
0.01,0,585.9017189792191
0.01,0,467.66885136097216
0.01,0,512.9768992763201
0.01,0,519.1485197023635
0.01,0,412.194283384567
0.01,0,646.2740412406347
0.01,0,483.539920205689
0.01,0,695.2337787107194
0.01,0,568.3064000892796
0.01,0,490.8005082717198
0.01,0,493.0551277484391
0.01,0,471.6146234197795
0.01,0,331.1541009741978
0.01,0,407.68377499822856
0.01,0,382.7613300756368
0.01,0,429.1463234337284
0.01,0,603.5930724163809
0.01,0,556.4826098302889
0.01,0,563.4962687875582
0.01,0,299.7946064396154
0.01,0,613.8519920822027
0.01,0,593.6123394187689
0.01,0,425.9543701350957
0.01,0,343.89650131594334
0.01,0,552.1394305295246
0.01,0,383.5041280846019
0.01,0,557.6686408573916
0.01,0,374.86186012308264
0.01,0,606.8992821066928
0.01,0,676.6283034218426
0.01,0,373.3783387976401
0.01,0,295.938343995327
0.01,0,401.0802742551361
0.01,0,419.1101105352325
0.05,1,3914.1747345344565
0.05,1,3233.7056059074484
0.05,1,4359.207259636196
0.05,1,4340.357161214695
0.05,1,3606.183049203925
0.05,1,4175.590084048602
0.05,1,3595.1982301251924
0.05,1,3702.48301580269
0.05,1,4733.757751529759
0.05,1,3637.6336158921827
0.05,1,4392.674019354506
0.05,1,3208.74447149732
0.05,1,3375.6003773286716
0.05,1,4683.870117871368
0.05,1,3242.4645658657064
0.05,1,3863.8894975143317
0.05,1,3892.725373922559
0.05,1,4356.903375544719
0.05,1,3948.5541765636153
0.05,1,4191.9870821213635
0.05,1,4230.106793003819
0.05,1,4553.848255279552
0.05,1,3713.6864275498365
0.05,1,3233.9609774255778
0.05,1,4575.211796100787
0.05,1,3916.4445557615586
0.05,1,4441.386572457371
0.05,1,3447.758922677582
0.05,1,3863.870725130906
0.05,1,3513.8267955762612
0.05,1,3642.8277590641565
0.05,1,4245.252608551689
0.05,1,3892.7483988315867
0.05,1,3090.6541406239417
0.05,1,4592.570611472889
0.05,1,4231.1853245869825
0.05,1,3988.776109584667
0.05,1,3583.083753966038
0.05,1,3241.7975383136013
0.05,1,4156.147636794267
0.05,1,4240.328049498962
0.05,1,3788.8487123713685
0.05,1,3704.4860872588656
0.05,1,3363.601244918876
0.05,1,5245.318114654486
0.05,1,3597.7362262863508
0.05,1,4140.9791015099945
0.05,1,3726.986843394595
0.05,1,3666.7602888172505
0.05,1,3990.1531660685196
0.05,1,3689.96996951009
0.05,1,3607.7093229454476
0.05,1,3567.372015788508
0.05,1,4693.0218518339225
0.05,1,3875.7002625696923
0.05,1,4429.035035510101
0.05,1,3065.903839239682
0.05,1,4055.683497618968
0.05,1,4086.6905808271695
0.05,1,3717.540403531962
0.05,1,4437.903863889946
0.05,1,4396.029809617791
0.05,1,4339.732751856109
0.05,1,3971.942090240834
0.05,1,3491.58952055904
0.05,1,4537.136812276141
0.05,1,3309.5555228805483
0.05,1,3905.0919134575474
0.05,1,3480.3411319648317
0.05,1,4059.4308439349857
0.05,1,3755.034661327532
0.05,1,3876.8579314616723
0.05,1,3512.2999157639024
0.05,1,4677.714749005883
0.05,1,4053.6514065601023
0.05,1,3310.077555843819
0.05,1,4639.778701070971
0.05,1,3166.340399927456
0.05,1,4404.279670246689
0.05,1,3942.2875054197534
0.05,1,3614.021169153423
0.05,1,3734.1835305730483
0.05,1,3889.9910821643375
0.05,1,3259.363236154853
0.05,1,3773.0820780393924
0.05,1,3831.0497934739515
0.05,1,4193.010694601637
0.05,1,4315.048691669382
0.05,1,3914.7006967646303
0.05,1,3835.2138612131835
0.05,1,3791.803320879162
0.05,1,3640.099192194103
0.05,1,3724.278492542017
0.05,1,4300.488609611659
0.05,1,3991.763953114789
0.05,1,3821.9417460122427
0.05,1,3670.948838927705
0.05,1,3547.3574178538074
0.05,1,4803.419870779875
0.05,1,4567.448170705668
0.05,0,4011.622445494817
0.05,0,2619.1345997502253
0.05,0,2583.3985808638786
0.05,0,2227.6788728273987
0.05,0,2644.4975811002964
0.05,0,2186.3880459367447
0.05,0,2397.6482012955257
0.05,0,2782.500857552942
0.05,0,1920.560402950525
0.05,0,4093.2596347689787
0.05,0,2158.124995443749
0.05,0,2583.8348081708664
0.05,0,2930.2114711075988
0.05,0,2431.171094904857
0.05,0,2243.7796031485755
0.05,0,2445.236305123249
0.05,0,2753.1657816696043
0.05,0,1820.5370823948588
0.05,0,2073.8125770734473
0.05,0,2536.2669924795487
0.05,0,1851.1635696115056
0.05,0,2844.734877519362
0.05,0,2602.845699884887
0.05,0,2742.566861949359
0.05,0,1965.013493735653
0.05,0,2535.7483662663376
0.05,0,1956.3076196139295
0.05,0,3605.290136394931
0.05,0,2273.3719413703357
0.05,0,1686.3403115892763
0.05,0,2167.957245270928
0.05,0,2809.662173801756
0.05,0,2272.141460952217
0.05,0,1973.7625017978776
0.05,0,2944.581701987029
0.05,0,3147.9270322905163
0.05,0,2242.293924734402
0.05,0,2146.671774148488
0.05,0,2598.916613804978
0.05,0,3361.4144091767616
0.05,0,2260.9496726775137
0.05,0,2646.113417602543
0.05,0,3698.8058943349033
0.05,0,2689.028298942141
0.05,0,2744.809109058436
0.05,0,3294.6152828085765
0.05,0,2648.533685985767
0.05,0,1887.927822574641
0.05,0,2457.7421623204464
0.05,0,3030.882613853124
0.05,0,2040.4135597567715
0.05,0,3160.1103735283623
0.05,0,2142.9105394654102
0.05,0,2129.0884703387374
0.05,0,3343.8471108086865
0.05,0,2207.7540838466753
0.05,0,2429.49054236778
0.05,0,2984.464271697979
0.05,0,2528.484421918685
0.05,0,2213.4533221608126
0.05,0,2188.916306100397
0.05,0,2187.178440538959
0.05,0,2125.611478387962
0.05,0,3364.912612112493
0.05,0,2107.398416421483
0.05,0,2948.111341798509
0.05,0,1919.8902783013689
0.05,0,3683.773696788792
0.05,0,2007.556345837652
0.05,0,2632.0991085448363
0.05,0,2908.416633150065
0.05,0,1833.6838845093432
0.05,0,1682.316274683875
0.05,0,2464.4749277667734
0.05,0,1660.5098278668424
0.05,0,2305.4060175507734
0.05,0,2939.082859946649
0.05,0,2312.9801631311675
0.05,0,2577.0569848296323
0.05,0,2850.310304442597
0.05,0,3454.2898982148545
0.05,0,3108.2223790793773
0.05,0,1716.1716428127415
0.05,0,2103.4292132055425
0.05,0,2450.0869866281646
0.05,0,2266.909249336973
0.05,0,2534.934521978082
0.05,0,3182.677692348569
0.05,0,2177.8598257509766
0.05,0,3368.4382973839315
0.05,0,3349.389586565659
0.05,0,2698.73469148651
0.05,0,2607.2138588123744
0.05,0,2613.5269822187033
0.05,0,2366.8075876622925
0.05,0,2044.8170916521844
0.05,0,3038.6997900685265
0.05,0,2565.7001928884642
0.05,0,2938.805903601329
0.05,0,2885.6661342300013
0.1,1,5632.201160602342
0.1,1,6880.6391048717915
0.1,1,7081.139012114797
0.1,1,6664.491468258749
0.1,1,7468.970894627564
0.1,1,7181.8516243294
0.1,1,6554.005256430448
0.1,1,6497.627440015103
0.1,1,5643.109651614069
0.1,1,5113.762153938467
0.1,1,5095.84053393773
0.1,1,5914.9172132823505
0.1,1,6647.5757352219925
0.1,1,6419.208450369019
0.1,1,7216.480948422999
0.1,1,5026.425269599518
0.1,1,7644.952016928128
0.1,1,6009.511115121373
0.1,1,6015.994043272783
0.1,1,5263.629609088245
0.1,1,5837.26643250301
0.1,1,5108.852055202627
0.1,1,6964.094726930487
0.1,1,4708.077833307156
0.1,1,7913.329764926594
0.1,1,8954.338647280834
0.1,1,4849.504574429972
0.1,1,5249.649812784437
0.1,1,5047.727146507676
0.1,1,6464.947646964644
0.1,1,6392.643140271724
0.1,1,4569.386610113239
0.1,1,6618.152374868348
0.1,1,6559.304521740421
0.1,1,5553.395976456274
0.1,1,6747.559338060471
0.1,1,6074.541191792451
0.1,1,5247.540217649546
0.1,1,7344.441096153585
0.1,1,5117.841417828794
0.1,1,6705.01054281216
0.1,1,4758.518821044325
0.1,1,6186.553717369828
0.1,1,7246.330435057176
0.1,1,5419.550648570704
0.1,1,5809.029782942521
0.1,1,6120.99131616185
0.1,1,6565.6509605642095
0.1,1,5774.033946221632
0.1,1,6226.5483502868965
0.1,1,6438.356116462919
0.1,1,7089.076042369666
0.1,1,5279.217064576584
0.1,1,4820.060458170009
0.1,1,7201.331786034139
0.1,1,6251.972713804805
0.1,1,6761.363344228462
0.1,1,4873.660375810669
0.1,1,6737.812787524204
0.1,1,4906.243790465794
0.1,1,5679.603452714278
0.1,1,6626.668393375532
0.1,1,5921.659973934934
0.1,1,4968.489223420277
0.1,1,7526.17110099531
0.1,1,7131.512231596781
0.1,1,6214.37341750661
0.1,1,5302.330684202944
0.1,1,4715.4134983670565
0.1,1,6189.220866681767
0.1,1,6931.618396680325
0.1,1,6565.609905842645
0.1,1,5260.8163839942745
0.1,1,4847.550353394242
0.1,1,8333.210415353205
0.1,1,5987.894509169257
0.1,1,6518.779401357937
0.1,1,5795.003564837795
0.1,1,5674.550455682696
0.1,1,5822.8805181814705
0.1,1,5520.610892928887
0.1,1,5092.344238984725
0.1,1,5056.880121473817
0.1,1,7805.127305952524
0.1,1,5828.223366595512
0.1,1,6709.07888344817
0.1,1,5152.936616045512
0.1,1,6541.920318231595
0.1,1,6309.544337924403
0.1,1,5839.606637917521
0.1,1,6853.95025823592
0.1,1,6711.722123338049
0.1,1,6911.283925452014
0.1,1,6084.555134390812
0.1,1,4999.397500926994
0.1,1,7129.104709810299
0.1,1,4766.221571623169
0.1,1,5661.192639342804
0.1,1,4811.691076356675
0.1,1,6038.524191974129
0.1,0,3817.761004217725
0.1,0,3624.6446870478085
0.1,0,3546.927471407222
0.1,0,6963.615453742413
0.1,0,6200.5228458252295
0.1,0,3773.500744471764
0.1,0,5012.396254748983
0.1,0,4334.693149808695
0.1,0,5515.925454072446
0.1,0,4617.365306165997
0.1,0,5674.700502602182
0.1,0,5272.428378445161
0.1,0,4812.351335221373
0.1,0,6203.3244074370505
0.1,0,3331.911999317694
0.1,0,6697.855975049529
0.1,0,5517.024571492982
0.1,0,4415.845226577056
0.1,0,3923.354350205333
0.1,0,4597.152565162751
0.1,0,3891.298323320005
0.1,0,4309.976598609708
0.1,0,4198.32018458641
0.1,0,4386.725062460543
0.1,0,6422.814511371164
0.1,0,4630.348361567106
0.1,0,5114.141860872992
0.1,0,5953.812222375126
0.1,0,5339.209712932449
0.1,0,5760.031285310882
0.1,0,7992.273130108774
0.1,0,5222.36776725766
0.1,0,5133.218730577932
0.1,0,4422.450860516772
0.1,0,5257.391346282237
0.1,0,4341.804330992741
0.1,0,4766.728957978712
0.1,0,5551.743849571981
0.1,0,3811.9703722456343
0.1,0,8171.85225442735
0.1,0,4295.150741491501
0.1,0,5140.233404832411
0.1,0,5827.516057076906
0.1,0,4847.96850512474
0.1,0,4474.82633474028
0.1,0,4857.565725107284
0.1,0,5490.105623220217
0.1,0,3626.987944119877
0.1,0,4133.251469462241
0.1,0,5046.711188946749
0.1,0,3569.6737387363924
0.1,0,5693.286168391017
0.1,0,5185.7771738357715
0.1,0,5465.219497965106
0.1,0,3814.4373790409663
0.1,0,4955.907124103075
0.1,0,3773.384844609523
0.1,0,7077.926872303767
0.1,0,4518.887295181404
0.1,0,3376.497036530687
0.1,0,4335.099121204232
0.1,0,5518.398453116242
0.1,0,4428.693313474816
0.1,0,3816.631070108188
0.1,0,5796.081253943898
0.1,0,6299.670477933465
0.1,0,4359.853858252498
0.1,0,4261.927158757484
0.1,0,5112.706619430642
0.1,0,6690.634848802328
0.1,0,4515.56673722641
0.1,0,5217.459754336792
0.1,0,7367.1617512350595
0.1,0,5392.686166235473
0.1,0,5405.490751392374
0.1,0,6596.696602646923
0.1,0,5156.782258718865
0.1,0,3790.612860414001
0.1,0,4777.316667497868
0.1,0,6012.313137345497
0.1,0,4057.2270643098186
0.1,0,6332.653747993768
0.1,0,4379.30143073577
0.1,0,4234.576885473747
0.1,0,6666.554039989507
0.1,0,4375.06479808193
0.1,0,4820.903758745498
0.1,0,5928.485173784504
0.1,0,5152.938002190176
0.1,0,4511.923664193812
0.1,0,4471.312964005739
0.1,0,4459.373900950148
0.1,0,4213.1456307858325
0.1,0,6742.2582251622725
0.1,0,4271.6358168640445
0.1,0,5855.999725219116
0.1,0,3935.7497149555793
0.1,0,7406.854532101245
0.1,0,4003.8600889982845
0.1,0,5232.341790924766
0.2,1,13773.303741436479
0.2,1,8131.311583129693
0.2,1,8481.789313095323
0.2,1,11231.705007216275
0.2,1,7919.592829298707
0.2,1,10615.049447762145
0.2,1,13664.114265797025
0.2,1,11354.318121360886
0.2,1,10413.290700395559
0.2,1,12312.084478119454
0.2,1,14728.002853208776
0.2,1,14572.526725154323
0.2,1,7378.035019191799
0.2,1,9239.245192543016
0.2,1,9696.316601027625
0.2,1,10461.062374905505
0.2,1,11420.352507786733
0.2,1,14124.13614695271
0.2,1,8837.349245215883
0.2,1,14384.596449885137
0.2,1,15058.829206341561
0.2,1,11620.467105667123
0.2,1,11870.635013624795
0.2,1,12625.249733309662
0.2,1,10915.737753129313
0.2,1,8420.363947962069
0.2,1,13796.534655013094
0.2,1,10776.149219494597
0.2,1,13225.78884096889
0.2,1,13381.625774955453
0.2,1,9542.742178169905
0.2,1,12423.55133885905
0.2,1,12040.868223542338
0.2,1,13191.40701288777
0.2,1,12780.515975297834
0.2,1,12814.66554634142
0.2,1,11158.918706692431
0.2,1,11058.834429691804
0.2,1,9523.040501565363
0.2,1,8784.449877393563
0.2,1,8527.221636190821
